Ranking,City,Country,Coordinates,Number of Tourists
1,Hong Kong,China,"(22.302711, 114.177216)",29.262 million
2,Bangkok,Thailand,"(13.736717, 100.523186)",24.177 million
3,London,United Kingdom,"(51.509865, -0.118092)",19.233 million
4,Macau,China,"(22.210928, 113.552971)",18.931 million
5,Singapore,Singapore,"(1.290270, 103.851959)",18.551 million
6,Paris,France,"(48.864716, 2.349014)",17.560 million
7,Dubai,United Arab Emirates,"(25.276987, 55.296249)",15.920 million
8,New York City,United States of America,"(40.730610, -73.935242)",13.600 million
9,Kuala Lumpur ,Malaysia,"(3.152815, 101.703651)",13.434 million
10,Istanbul ,Turkey,"(41.015137, 28.979530)",13.433 million
11,Delhi,India,"(28.610001, 77.230003)",12.645 million
12,Antalya,Turkey,"(36.884804, 30.704044)",12.438 million
13,Shenzhen,China,"(22.542883, 114.062996)",12.202 million
14,Mumbai ,India,"(19.076090, 72.877426)",10.590 million
15,Phuket,Thailand,"(7.878978, 98.398392)",10.550 million
16,Rome ,Italy,"(41.902782, 12.496366)",10.065 million
17,Tokyo,Japan,"(35.652832, 139.839478)",9.985 million
18,Pattaya,Thailand,"(12.927608, 100.877083)",9.606 million
19,Taipei ,Taiwan,"(25.105497, 121.597366)",9.597 million
20,Mecca,Saudi Arabia,"(21.422510, 39.826168)",9.565 million
21,Guangzho,China,"(23.128994, 113.253250)",9.004 million
22,Prague,Czech Republic,"(50.073658, 14.418540)",8.948 million
23,Medina,Saudi Arabia,"(24.470901, 39.612236)",8.547 million
24,Seoul,South Korea,"(37.532600, 127.024612)",8.431 million
25,Amsterdam,Netherlands,"(52.377956, 4.897070)",8.354 million
26,Agra,India,"(27.176670, 78.008072)",8.138 million
27,Miami,United States of America,"(25.761681, -80.191788)",8.121 million
28,Osaka,Japan,"(34.669529, 135.497009)",7.861 million
29,Los Angeles,United States of America,"(34.052235, -118.243683)",7.500 million
30,Shanghai,China,"(31.224361, 121.469170)",7.483 million
31,Ho Chi Minh City,Vietnam,"(10.762622, 106.660172)",7.200 million
32,Denpasar,Indonesia,"(-8.650000, 115.216667)",7.185 million
33,Barcelona,Spain,"(41.390205, 2.154007)",6.714 million
34,Las Vegas,United States of America,"(36.114647, -115.172813)",6.591 million
35,Milan,Italy,"(45.464664, 9.188540)",6.481 million
36,Chennai,India,"(13.067439, 80.237617)",6.422 million
37,Vienna,Austria,"(48.210033, 16.363449)",6.410 million
38,Johor Bahru,Malaysia,"(1.934400, 103.358727)",6.396 million
39,Jaipur ,India,"(26.922070, 75.778885)",6.383 million
40,Cancun,Mexico,"(20.400417, -89.134857)",6.041 million
41,Berlin,Germany,"(52.520008, 13.404954)",5.959 million
42,Cairo,Egypt,"(30.033333, 31.233334)",5.754 million
43,Athens,Greece,"(37.983810, 23.727539)",5.728 million
44,Orlando,United States of America,"(28.538336, -81.379234)",5.553 million
45,Moscow,Russia,"(55.751244, 37.61842)",5.150 million
46,Venice,Italy,"(45.438759, 12.327145)",5.502 million
47,Ha Long,Vietnam,"(20.959902, 107.042542)",5.295 million
48,Riyadh ,Saudi Arabia,"(24.774265, 46.738586)",5.267 million
49,Dublin,Ireland,"(53.350140, -6.266155)",5.213 million